ID_UBICACION;MARCA;TEMPORADAS;STOCK_TOTAL_UBICACION;VALOR_STOCK_€;CLASES_ABC;DIAS_MAX;OCUPACION_%;PRODUCTOS_A;PRODUCTOS_B;PRODUCTOS_C;PRODUCTOS_D
CLABD/Stock/StorageBD/CLA-055-07-01-02;BLACK;V25+I25;2386;11012.89;D+C;308;970;;;[DFSWTOP12-MAGE-M] 25u (V25) 308d | [DFSWONE04-RED-M] 25u (V25) 308d | [DFSWONE03-BLAC-M] 25u (V25) 308d | [DFSWTOP07-BLUE-M] 25u (V25) 308d | [DFSWTOP07-BLUE-M] 25u (V25) 308d | [DFSWBOT12-MAGE-M] 25u (V25) 308d | [DFTXTSH039-BURG-M] 20u (I25) 101d | [DFTXTSH039-BURG-S] 19u (I25) 101d | [DFTXTSH039-BLAC-L] 20u (I25) 101d | [DFTXTSH038-ANTR-L] 10u (I25) 101d | [DFTXTSH036-BLAC-M] 21u (I25) 101d | [DFTXTSH036-BLAC-M] 21u (I25) 101d;[DFSWTOP12-MAGE-S] 25u (V25) 308d | [DFSWTOP11-MAGE-L] 25u (V25) 308d | [DFSWTOP08-PINK-S] 25u (V25) 308d | [DFSWTOP08-PINK-M] 25u (V25) 308d | [DFSWTOP08-BLUE-S] 25u (V25) 308d | [DFSWTOP08-BLAC-L] 25u (V25) 308d | [DFSWTOP07-RED-S] 25u (V25) 308d | [DFSWTOP07-RED-M] 25u (V25) 308d | [DFSWTOP07-BLUE-S] 25u (V25) 308d | [DFSWTOP06-RED-S] 25u (V25) 308d | [DFSWTOP06-RED-M] 25u (V25) 308d | [DFSWTOP06-RED-L] 25u (V25) 308d | [DFSWTOP06-HPIN-XL] 25u (V25) 308d | [DFSWTOP06-HPIN-S] 25u (V25) 308d | [DFSWTOP06-HPIN-M] 25u (V25) 308d | [DFSWTOP06-HPIN-L] 25u (V25) 308d | [DFSWTOP06-BLAC-M] 25u (V25) 308d | [DFSWTOP06-BLAC-L] 25u (V25) 308d | [DFSWONE05-MAGE-M] 25u (V25) 308d | [DFSWONE05-MAGE-L] 25u (V25) 308d | [DFSWONE04-RED-S] 25u (V25) 308d | [DFSWONE04-RED-L] 25u (V25) 308d | [DFSWONE03-BLAC-S] 25u (V25) 308d | [DFSWONE03-BLAC-L] 25u (V25) 308d | [DFSWBOT11-MAGE-M] 25u (V25) 308d | [DFSWBOT11-MAGE-L] 25u (V25) 308d | [DFSWBOT10-LEOP-L] 25u (V25) 308d | [DFSWBOT09-LEOP-L] 25u (V25) 308d | [DFSWBOT07-RED-M] 25u (V25) 308d | [DFSWBOT07-RED-L] 25u (V25) 308d | [DFSWBOT07-PINK-M] 25u (V25) 308d | [DFSWBOT07-BLUE-M] 25u (V25) 308d | [DFSWBOT06-RED-M] 25u (V25) 308d | [DFSWBOT06-BLAC-M] 25u (V25) 308d | [DFSWTOP08-RED-M] 25u (V25) 308d | [DFSWTOP08-RED-L] 25u (V25) 308d | [DFSWTOP08-BLUE-M] 25u (V25) 308d | [DFSWBOT08-RED-M] 25u (V25) 308d | [DFSWBOT08-RED-L] 25u (V25) 308d | [DFSWBOT08-BLUE-M] 25u (V25) 308d | [DFSWBOT07-PINK-S] 25u (V25) 308d | [DFSWBOT07-BLUE-S] 25u (V25) 308d | [DFSWBOT06-PINK-M] 25u (V25) 308d | [DFSWBOT06-BLAC-S] 25u (V25) 308d | [DFSWTOP10-LEOP-M] 25u (V25) 308d | [DFSWTOP10-LEOP-M] 25u (V25) 308d | [DFSWTOP10-LEOP-L] 25u (V25) 308d | [DFSWTOP08-BLUE-M] 25u (V25) 308d | [DFSWTOP08-BLAC-M] 25u (V25) 308d | [DFSWTOP08-BLAC-M] 25u (V25) 308d | [DFSWTOP07-RED-M] 25u (V25) 308d | [DFSWTOP07-RED-L] 25u (V25) 308d | [DFSWBOT12-MAGE-S] 25u (V25) 308d | [DFSWBOT12-MAGE-L] 25u (V25) 308d | [DFSWBOT11-MAGE-S] 25u (V25) 308d | [DFSWBOT08-RED-M] 25u (V25) 308d | [DFSWBOT08-BLAC-S] 25u (V25) 308d | [DFSWBOT08-BLAC-M] 25u (V25) 308d | [DFSWBOT07-RED-S] 25u (V25) 308d | [DFSWBOT07-RED-M] 25u (V25) 308d | [DFSWBOT07-PINK-M] 25u (V25) 308d | [DFSWBOT07-PINK-L] 25u (V25) 308d | [DFSWBOT07-BLUE-M] 25u (V25) 308d | [DFSWBOT07-BLUE-L] 25u (V25) 308d | [DFSWBOT06-RED-S] 25u (V25) 308d | [DFSWBOT06-RED-M] 25u (V25) 308d | [DFSWBOT06-RED-L] 25u (V25) 308d | [DFSWBOT06-PINK-XL] 25u (V25) 308d | [DFSWBOT06-PINK-S] 25u (V25) 308d | [DFSWBOT06-PINK-L] 25u (V25) 308d | [DFSWBOT06-PINK-L] 25u (V25) 308d | [DFSWBOT06-BLAC-M] 25u (V25) 308d | [DFSWBOT08-BLUE-S] 25u (V25) 308d | [DFSWTOP10-LEOP-S] 25u (V25) 308d | [DFSWTOP08-BLUE-M] 25u (V25) 308d | [DFSWTOP08-BLUE-L] 25u (V25) 308d | [DFSWTOP08-BLUE-L] 25u (V25) 308d | [DFSWTOP07-BLUE-L] 25u (V25) 308d | [DFSWBOT11-MAGE-M] 25u (V25) 308d | [DFSWBOT08-RED-S] 25u (V25) 308d | [DFSWBOT08-BLUE-M] 25u (V25) 308d | [DFSWBOT08-BLUE-L] 25u (V25) 308d | [DFSWBOT06-RED-L] 25u (V25) 308d | [DFSWBOT06-PINK-M] 25u (V25) 308d | [DFSWBOT06-BLAC-L] 25u (V25) 308d
CLABD/Stock/EXTB2BBD/CLA-031-17-02-01;GENERIC;V25+I25;1399;1221.78;A+D;323;10;[DFMEPLV006] 372u (V25) 323d;;;[DFMEPLV012] 364u (I25) 140d | [DFMEPLV013] 376u (I25) 140d | [DFMEPLV014] 93u (I25) 140d | [DFMEPLV015] 193u (I25) 140d | [DFMEPLV016] 1u (I25) 140d
CLABD/Stock/StorageBD/CLA-055-03-01-03;BLACK;V25;771;4408.18;D+C;308;380;;;[DFTXTSH031-GREY-L] 20u (V25) 282d | [DFTXTSH027-PINK-M] 20u (V25) 282d | [DFTXTSH026-NAVY-L] 6u (V25) 282d | [DFTXTSH026-NAVY-L] 20u (V25) 282d | [DFTXTSH026-BLAC-L] 8u (V25) 282d | [DFSWTOP12-MAGE-M] 25u (V25) 308d | [DFSWONE04-RED-M] 25u (V25) 308d | [DFSWONE03-BLAC-M] 25u (V25) 308d;[DFTXTSH035-WHIT-S] 9u (V25) 282d | [DFTXTSH035-WHIT-M] 10u (V25) 282d | [DFTXTSH035-WHIT-M] 20u (V25) 282d | [DFTXTSH035-WHIT-L] 14u (V25) 282d | [DFTXTSH031-GREY-M] 20u (V25) 282d | [DFTXTSH027-PINK-S] 11u (V25) 282d | [DFTXTSH027-PINK-S] 20u (V25) 282d | [DFTXTSH027-PINK-S] 20u (V25) 282d | [DFTXTSH027-BLAC-S] 11u (V25) 282d | [DFTXTSH027-BLAC-S] 20u (V25) 282d | [DFTXTSH027-BLAC-M] 12u (V25) 282d | [DFTXTSH027-BLAC-M] 20u (V25) 282d | [DFTXTSH027-BLAC-M] 20u (V25) 282d | [DFTXTSH027-BLAC-L] 15u (V25) 282d | [DFSWTOP12-MAGE-L] 25u (V25) 308d | [DFSWTOP11-MAGE-S] 25u (V25) 308d | [DFSWTOP11-MAGE-M] 25u (V25) 308d | [DFSWTOP08-RED-S] 25u (V25) 308d | [DFSWTOP08-RED-M] 25u (V25) 308d | [DFSWTOP08-PINK-XL] 25u (V25) 308d | [DFSWTOP08-PINK-S] 25u (V25) 308d | [DFSWTOP08-PINK-L] 25u (V25) 308d | [DFSWTOP06-RED-M] 25u (V25) 308d | [DFSWTOP06-HPIN-M] 25u (V25) 308d | [DFSWTOP06-BLAC-S] 25u (V25) 308d | [DFSWTOP06-BLAC-M] 25u (V25) 308d | [DFSWONE05-MAGE-S] 25u (V25) 308d | [DFSWONE05-MAGE-M] 25u (V25) 308d | [DFSWBOT10-LEOP-S] 25u (V25) 308d | [DFSWBOT10-LEOP-M] 25u (V25) 308d
CLABD/Stock/EXTB2BBD/CLA-031-17-02-02;GENERIC;I25+V25+V26;380;34533.30;A+D;323;10;[DFMEPLV005] 2u (I25) 286d | [DFMEPLV006] 14u (V25) 323d;;;[DFMEPLV014] 4u (I25) 140d | [DFMEPLV015] 4u (I25) 140d | [DFMEPLV016] 1u (I25) 140d | [DFMEPLV040] 165u (V26) 16d | [DFMEPLV041] 190u (V26) 16d
CLABD/Stock/StorageBD/CLA-054-02-01-03;BLACK;V25;1070;2166.64;D+C+A+B;226;240;[DFTXSOC031-MULT] 50u (V25) 226d | [DFTXSOC031-MULT] 50u (V25) 226d | [DFTXSOC031-MULT] 50u (V25) 226d | [DFTXSOC031-MULT] 50u (V25) 226d | [DFTXSOC031-MULT] 50u (V25) 226d;[DFTXSOC028-MULT] 50u (V25) 226d | [DFTXSOC028-MULT] 50u (V25) 226d | [DFTXSOC028-MULT] 50u (V25) 226d | [DFTXSOC028-MULT] 50u (V25) 226d | [DFTXSOC028-MULT] 50u (V25) 226d | [DFTXSOC035-MULT] 50u (V25) 226d | [DFTXSOC035-MULT] 50u (V25) 226d | [DFTXSOC034-MULT] 50u (V25) 226d;[DFTXTSH028-NAVY-M] 30u (V25) 225d | [DFTXTSH024-WHIT-M] 30u (V25) 225d | [DFTXSOC029-MULT] 50u (V25) 226d | [DFTXSOC029-MULT] 50u (V25) 226d | [DFTXSOC029-MULT] 50u (V25) 226d | [DFTXSOC029-MULT] 50u (V25) 226d | [DFTXSOC029-MULT] 50u (V25) 226d;[DFTXTSH032-NAVY-M] 20u (V25) 225d | [DFTXTSH032-NAVY-M] 30u (V25) 225d | [DFTXTSH025-WHIT-M] 30u (V25) 225d | [DFTXTSH025-BLAC-S] 30u (V25) 225d
CLABD/Stock/StorageBD/CLA-055-06-01-03;BLACK;V26;550;3275.88;C+D;311;220;;;[DFACCA2505-NAVY] 25u (V26) 311d | [DFACCA2505-NAVY] 25u (V26) 311d | [DFACCA2505-NAVY] 25u (V26) 311d | [DFACCA2505-KHAK] 25u (V26) 311d | [DFACCA2504-NAVY] 25u (V26) 311d | [DFACCA2504-NAVY] 25u (V26) 311d | [DFACCA2504-BLAC] 25u (V26) 311d | [DFACCA2504-BLAC] 25u (V26) 311d | [DFACCA2503-NAVY] 25u (V26) 311d | [DFACCA2501-PINK] 25u (V26) 311d | [DFACCA2501-NAVY] 25u (V26) 311d | [DFACCA2501-GREE] 25u (V26) 311d | [DFACCA2504-BLAC] 25u (V26) 311d | [DFACCA2501-PINK] 25u (V26) 311d | [DFACCA2501-NAVY] 25u (V26) 311d | [DFACCA2501-GREE] 25u (V26) 311d | [DFACCA2501-BEIG] 25u (V26) 311d | [DFACCA2501-BEIG] 25u (V26) 311d;[DFACCA2503-MULT] 25u (V26) 311d | [DFACCA2503-MULT] 25u (V26) 311d | [DFACCA2503-MULT] 25u (V26) 311d | [DFACCA2503-MULT] 25u (V26) 311d
CLABD/Stock/StorageBD/CLA-054-06-01-03;BLACK;I24+V25+I25;361;2260.61;C+B+A+D;568;160;[DFTXSOC007-PURP-36-40] 100u (I24) 568d;[DFTXHOD019-GREE-M] 16u (I24) 351d;[DFTXTSH020-BLACK-M] 5u (I24) 351d | [DFTXTSH020-WHIT-M] 18u (I24) 454d | [DFTXHOD019-GREE-L] 11u (I24) 351d | [DFTXTSH034-WHIT-S] 24u (V25) 282d | [DFTXTSH027-PINK-M] 20u (V25) 282d | [DFTXTSH027-PINK-L] 20u (V25) 282d | [DFTXTSH038-ANTR-L] 20u (I25) 101d | [DFTXTSH037-WHIT-L] 17u (I25) 101d | [DFTXTSH037-WHIT-M] 17u (I25) 101d | [DFTXTSH036-WHIT-M] 17u (I25) 101d;[DFTXTSH035-WHIT-S] 20u (V25) 282d | [DFTXTSH034-WHIT-M] 25u (V25) 282d | [DFTXTSH031-GREY-M] 15u (V25) 282d | [DFTXTSH029-NAVY-M] 16u (V25) 282d
CLABD/Stock/StorageBD/CLA-054-04-01-03;BLACK;I24+V25;1889;4446.23;A+B+C+D;568;250;[DFTXSOC010-BLAC-41-46] 100u (I24) 568d | [DFTXSOC010-BLAC-41-46] 100u (I24) 568d | [DFTXSOC010-BLAC-41-46] 100u (I24) 568d | [DFTXSOC010-BLAC-41-46] 100u (I24) 568d;[DFTXSOC009-GREE-41-46] 100u (I24) 568d | [DFTXSOC009-GREE-41-46] 100u (I24) 568d | [DFTXSOC009-GREE-41-46] 100u (I24) 568d | [DFTXSOC009-GREE-41-46] 100u (I24) 568d | [DFTXSOC009-GREE-41-46] 100u (I24) 568d | [DFTXSOC009-GREE-41-46] 100u (I24) 568d | [DFTXSOC009-GREE-36-40] 100u (I24) 568d | [DFTXSOC009-GREE-36-40] 100u (I24) 568d | [DFTXSOC005-BLUE-41-46] 100u (I24) 568d | [DFTXSOC005-BLUE-41-46] 100u (I24) 568d | [DFTXSOC005-BLUE-41-46] 100u (I24) 568d | [DFTXSOC005-BLUE-36-40] 100u (I24) 568d | [DFTXSOC005-BLUE-36-40] 100u (I24) 568d | [DFTXTSH028-NAVY-L] 30u (V25) 225d;[DFTXTSH028-NAVY-M] 22u (V25) 225d | [DFTXTSH025-BLAC-M] 30u (V25) 225d | [DFTXTSH024-GREY-M] 20u (V25) 225d | [DFTXTSH023-GREY-M] 19u (V25) 225d;[DFTXTSH025-WHIT-S] 18u (V25) 225d | [DFTXTSH025-BLAC-S] 30u (V25) 225d | [DFTXTSH024-BLAC-M] 20u (V25) 225d
CLABD/Stock/StorageBD/CLA-054-07-01-02;BLACK;I24+V25;1438;4092.51;A+C+B+D;568;270;[DFTXSOC009-BLAC-41-46] 100u (I24) 568d | [DFTXSOC009-BLAC-41-46] 100u (I24) 568d | [DFTXSOC009-BLAC-41-46] 100u (I24) 568d | [DFTXSOC009-BLAC-41-46] 100u (I24) 568d | [DFTXSOC009-BLAC-41-46] 100u (I24) 568d | [DFTXSOC009-BLAC-36-40] 100u (I24) 568d | [DFTXSOC008-BLUE-41-46] 100u (I24) 568d | [DFTXSOC008-BLUE-41-46] 100u (I24) 568d | [DFTXSOC006-BLAC-36-40] 100u (I24) 568d | [DFTXSOC006-BLAC-36-40] 100u (I24) 568d;[DFTXTSH020-WHIT-L] 19u (I24) 454d | [DFTXHOD018-GREY-M] 3u (I24) 454d;[DFTXSOC006-BLAC-41-46] 100u (I24) 568d | [DFTXSOC006-BLAC-41-46] 100u (I24) 568d | [DFTXTSH020-BLACK-M] 18u (I24) 454d | [DFTXTSH020-BLACK-L] 17u (I24) 454d | [DFTXTSH020-BLACK-M] 18u (I24) 454d | [DFTXTSH020-BLACK-M] 18u (I24) 351d | [DFTXTSH020-WHIT-M] 18u (I24) 454d | [DFTXTSH020-WHIT-M] 18u (I24) 454d | [DFTXTSH031-GREY-L] 5u (V25) 282d | [DFTXTSH030-BLAC-M] 20u (V25) 282d | [DFTXTSH026-NAVY-M] 20u (V25) 282d;[DFTXTSH035-WHIT-S] 20u (V25) 282d | [DFTXTSH027-BLAC-S] 20u (V25) 282d | [DFTXTSH026-WHIT-L] 4u (V25) 282d | [DFTXTSH026-BLAC-M] 20u (V25) 282d
CLABD/Stock/StorageBD/CLA-063-09-02-02;BLACK;I25;96;872.04;D+C;153;80;;;[DFSH370019-BROW-39] 12u (I25) 153d | [DFSH370019-BROW-38] 12u (I25) 153d | [DFSH370019-BROW-37] 12u (I25) 153d | [DFSH370019-BROW-36] 12u (I25) 153d;[DFSH370019-BROW-40] 12u (I25) 153d | [DFSH370019-BROW-40] 12u (I25) 153d | [DFSH370019-BROW-40] 12u (I25) 153d | [DFSH370019-BROW-40] 12u (I25) 153d
