ID_UBICACION;MARCA;TEMPORADAS;STOCK_TOTAL_UBICACION;VALOR_STOCK_€;CLASES_ABC;DIAS_MAX;OCUPACION_%;PRODUCTOS_A;PRODUCTOS_B;PRODUCTOS_C;PRODUCTOS_D
CLABD/Stock/StorageBD/CLA-004-03-01-02;BLACK;I16+V25;2150;4249.43;A;91;125;[DFKCLEAN-0160] 200u (I16) 90d | [DFKCLEAN-0160] 300u (I16) 90d | [DFKCLEAN-0160] 300u (I16) 90d | [DFKCLEAN-0160] 300u (I16) 90d | [DFKCLEAN-0160] 300u (I16) 90d | [DFKSUN1512-0804] 50u (V25) 90d | [DFKSUN1512-0804] 50u (V25) 90d | [DFKSUN1512-0804] 50u (V25) 90d | [DFKSUN1512-0804] 50u (V25) 90d | [DFKSUN1512-0804] 50u (V25) 90d | [DFKSUN1512-0804] 50u (V25) 90d | [DFKSUN1511-0801] 50u (V25) 90d | [DFKSUN1511-0801] 50u (V25) 90d | [DFKSUN1511-0801] 50u (V25) 90d | [DFKSUN1511-0801] 50u (V25) 90d | [DFKSUN1511-0801] 50u (V25) 90d | [DFKSUN0826-0058] 50u (V25) 91d | [DFKSUN0826-0058] 50u (V25) 91d | [DFKSUN0826-0058] 50u (V25) 91d | [DFKSUN0821-0003] 50u (V25) 91d;;;
CLABD/Stock/StorageBD/CLA-054-07-01-03;BLACK;I24+V25;2499;4771.66;A+C+B;558;260;[DFTXSOC010-WHIT-41-46] 100u (I24) 558d | [DFTXSOC010-WHIT-41-46] 100u (I24) 558d | [DFTXSOC010-WHIT-41-46] 100u (I24) 558d | [DFTXSOC010-WHIT-41-46] 100u (I24) 558d | [DFTXSOC022-PINK-36-40] 50u (V25) 306d | [DFTXSOC022-PINK-36-40] 49u (V25) 306d | [DFTXSOC022-PINK-36-40] 100u (V25) 306d | [DFTXSOC022-PINK-36-40] 100u (V25) 306d | [DFTXSOC014-SAND-36-40] 100u (V25) 306d | [DFTXSOC014-SAND-36-40] 100u (V25) 306d | [DFTXSOC014-SAND-36-40] 100u (V25) 306d | [DFTXSOC014-ORAN-36-40] 100u (V25) 306d | [DFTXSOC014-ORAN-36-40] 100u (V25) 306d | [DFTXSOC014-ORAN-36-40] 100u (V25) 306d | [DFTXSOC014-GREE-36-40] 100u (V25) 306d | [DFTXSOC014-GREE-36-40] 100u (V25) 306d | [DFTXSOC014-GREE-36-40] 100u (V25) 306d;[DFTXSOC022-PURP-36-40] 100u (V25) 306d | [DFTXSOC022-PURP-36-40] 100u (V25) 306d;[DFTXSOC010-WHIT-36-40] 100u (I24) 558d | [DFTXSOC009-WHIT-41-46] 100u (I24) 558d | [DFTXSOC009-WHIT-41-46] 100u (I24) 558d | [DFTXSOC009-WHIT-41-46] 100u (I24) 558d | [DFTXSOC006-WHIT-41-46] 100u (I24) 558d | [DFTXSOC006-WHIT-36-40] 100u (I24) 558d | [DFTXSOC006-WHIT-36-40] 100u (I24) 558d;
CLABD/Stock/StorageBD/CLA-072-07-01-03;BLACK;I25;4000;2649.20;B+A;90;160;[DFACLY2501-BLAC] 250u (I25) 90d | [DFACLY2501-BLAC] 250u (I25) 90d | [DFACLY2501-BLAC] 250u (I25) 90d | [DFACLY2501-BLAC] 250u (I25) 90d | [DFACLY2501-BLAC] 250u (I25) 90d | [DFACLY2501-BLAC] 250u (I25) 90d;[DFACLY2501-YELL] 250u (I25) 90d | [DFACLY2501-YELL] 250u (I25) 90d | [DFACLY2501-YELL] 250u (I25) 90d | [DFACLY2501-YELL] 250u (I25) 90d | [DFACLY2501-YELL] 250u (I25) 90d | [DFACLY2501-YELL] 250u (I25) 90d | [DFACLY2501-PEAC] 250u (I25) 90d | [DFACLY2501-PEAC] 250u (I25) 90d | [DFACLY2501-PEAC] 250u (I25) 90d | [DFACLY2501-PEAC] 250u (I25) 90d;;
CLABD/Stock/StorageBD/CLA-004-05-03-02;BLACK;V25;1250;5739.88;A;91;125;[DFKSUN0173-0800] 50u (V25) 91d | [DFKSUN0173-0800] 50u (V25) 91d | [DFKSUN0172-0804] 50u (V25) 91d | [DFKSUN0171-0800] 50u (V25) 91d | [DFKSUN0216-0813] 50u (V25) 91d | [DFKSUN0216-0813] 50u (V25) 91d | [DFKSUN0214-0802] 50u (V25) 91d | [DFKSUN0214-0802] 50u (V25) 91d | [DFKSUN0214-0802] 50u (V25) 91d | [DFKSUN0214-0802] 50u (V25) 91d | [DFSU913001-AMBE] 50u (V25) 91d | [DFKSUN0143-0800] 50u (V25) 91d | [DFKSUN0142-0813] 50u (V25) 91d | [DFSU939002-BLAC] 50u (V25) 91d | [DFSU939002-BLAC] 50u (V25) 91d | [DFSU939002-BLAC] 50u (V25) 91d | [DFSU939002-BLAC] 50u (V25) 91d | [DFSU939002-BLAC] 50u (V25) 91d | [DFSU939002-BLAC] 50u (V25) 91d | [DFSU939001-SILV] 50u (V25) 91d | [DFSU939001-GREY] 50u (V25) 91d | [DFSU939001-BLAC] 50u (V25) 91d | [DFKSUN0246-0800] 50u (V25) 91d | [DFKSUN0246-0800] 50u (V25) 91d | [DFSU944001-TORT] 50u (V25) 91d;;;
CLABD/Stock/StorageBD/CLA-004-09-02-03;BLACK;V25;1250;5695.00;A;91;125;[DFSU917001-TRAN] 50u (V25) 91d | [DFKSUN0174-0804] 50u (V25) 91d | [DFKSUN0174-0804] 50u (V25) 91d | [DFKSUN0173-0800] 50u (V25) 91d | [DFKSUN0171-0800] 50u (V25) 91d | [DFKSUN0171-0800] 50u (V25) 91d | [DFKSUN0216-0813] 50u (V25) 91d | [DFKSUN0216-0813] 50u (V25) 91d | [DFKSUN0216-0813] 50u (V25) 91d | [DFKSUN0216-0813] 50u (V25) 91d | [DFKSUN0214-0802] 50u (V25) 91d | [DFKSUN0214-0802] 50u (V25) 91d | [DFKSUN0143-0800] 50u (V25) 91d | [DFKSUN0142-0813] 50u (V25) 91d | [DFKSUN0140] 50u (V25) 91d | [DFSU939002-GREE] 50u (V25) 91d | [DFSU939001-SILV] 50u (V25) 91d | [DFSU939001-GREY] 50u (V25) 91d | [DFSU939001-GREY] 50u (V25) 91d | [DFSU939001-DGRE] 50u (V25) 91d | [DFSU939001-BLAC] 50u (V25) 91d | [DFKSUN0246-0800] 50u (V25) 91d | [DFKSUN0245-0804] 50u (V25) 91d | [DFKSUN0245-0804] 50u (V25) 91d | [DFSU944001-TORT] 50u (V25) 91d;;;
CLABD/Stock/StorageBD/CLA-056-03-03-03;BLACK;V25;1250;4250.75;A;171;125;[DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d | [DFKSUN0212-0800] 50u (V25) 171d;;;
CLABD/Stock/StorageBD/CLA-059-08-02-02;BLACK;V25;1250;7882.87;A;147;125;[DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d | [DFKSUN0826-0058] 50u (V25) 147d;;;
CLABD/Stock/StorageBD/CLA-059-08-03-03;GENERIC;V25;1250;6587.50;A;641;125;[DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d | [DFKSUN1521-0800] 50u (V25) 641d;;;
CLABD/Stock/StorageBD/CLA-004-02-02-02;BLACK;V25;1200;5304.31;A;91;120;[DFSU918001-GREE] 50u (V25) 91d | [DFSU918001-GREE] 50u (V25) 91d | [DFSU918001-GREE] 50u (V25) 91d | [DFKSUN0163-0804] 50u (V25) 91d | [DFKSUN0161] 50u (V25) 91d | [DFKSUN0161] 50u (V25) 91d | [DFSU919001-BLUE] 50u (V25) 91d | [DFSU919001-BLUE] 50u (V25) 91d | [DFSU921001-TRAN] 50u (V25) 91d | [DFSU921001-TRAN] 50u (V25) 91d | [DFSU921001-TRAN] 50u (V25) 91d | [DFSU921001-TRAN] 50u (V25) 91d | [DFSU921001-GREE] 50u (V25) 91d | [DFSU921001-GREE] 50u (V25) 91d | [DFSU921001-GREE] 50u (V25) 91d | [DFSU921001-GREE] 50u (V25) 91d | [DFSU921001-GREE] 50u (V25) 91d | [DFSU921001-GREE] 50u (V25) 91d | [DFSU921001-GREE] 50u (V25) 91d | [DFSU921001-GREE] 50u (V25) 91d | [DFSU921001-GREE] 50u (V25) 91d | [DFSU921001-BLAC] 50u (V25) 91d | [DFSU921001-BLAC] 50u (V25) 91d | [DFSU921001-BLAC] 50u (V25) 91d;;;
CLABD/Stock/StorageBD/CLA-004-02-02-03;BLACK;V25;1200;5290.34;A;91;120;[DFKSUN0161] 50u (V25) 91d | [DFKSUN0161] 50u (V25) 91d | [DFKSUN0161] 50u (V25) 91d | [DFSU919001-BLUE] 50u (V25) 91d | [DFSU921001-TRAN] 50u (V25) 91d | [DFSU921001-TRAN] 50u (V25) 91d | [DFSU921001-TRAN] 50u (V25) 91d | [DFSU921001-TRAN] 50u (V25) 91d | [DFSU921001-TRAN] 50u (V25) 91d | [DFSU921001-TRAN] 50u (V25) 91d | [DFSU921001-GREE] 50u (V25) 91d | [DFSU921001-GREE] 50u (V25) 91d | [DFSU921001-GREE] 50u (V25) 91d | [DFSU921001-GREE] 50u (V25) 91d | [DFSU921001-GREE] 50u (V25) 91d | [DFSU921001-GREE] 50u (V25) 91d | [DFSU921001-GREE] 50u (V25) 91d | [DFSU921001-GREE] 50u (V25) 91d | [DFSU921001-BLAC] 50u (V25) 91d | [DFSU921001-BLAC] 50u (V25) 91d | [DFSU921001-BLAC] 50u (V25) 91d | [DFSU921001-BLAC] 50u (V25) 91d | [DFSU921001-BLAC] 50u (V25) 91d | [DFSU921001-AMBE] 50u (V25) 91d;;;
