ID_UBICACION;MARCA;TEMPORADAS;STOCK_TOTAL_UBICACION;VALOR_STOCK_€;CLASES_ABC;DIAS_MAX;OCUPACION_%;STOCK_EXACTO_BUSQUEDA;PRODUCTOS_A;PRODUCTOS_B;PRODUCTOS_C;PRODUCTOS_D
CLABD/Stock/StorageBD/CLA-059-07-03-02;BLACK;V25;1100;43270.92;A;145;110;1100;[DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d | [DFKSUN0213-0800] 50u (V25) 145d;;;
CLABD/Stock/StorageBD/CLA-004-09-01-02;BLACK;V25;1150;29442.86;A+D;89;115;650;[DFKSUN0218-0802] 50u (V25) 89d | [DFKSUN0218-0802] 50u (V25) 89d | [DFKSUN0218-0802] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0244-0509] 50u (V25) 89d | [DFSU930001-PURP] 50u (V25) 89d | [DFSU929001-PURP] 50u (V25) 89d | [DFKSUN5411-0003] 50u (V25) 89d | [DFKSUN5411-0003] 50u (V25) 89d | [DFSU930001-GREE] 50u (V25) 89d;;;[DFSU935001-BLUE] 50u (V25) 89d
CLABD/Stock/StorageBD/CLA-004-08-02-03;BLACK;V25;1000;21628.24;A+D;89;100;400;[DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0244-0509] 50u (V25) 89d | [DFKSUN0244-0509] 50u (V25) 89d | [DFKSUN0244-0509] 50u (V25) 89d | [DFSU930001-PURP] 50u (V25) 89d | [DFSU930001-PURP] 50u (V25) 89d | [DFSU930001-GREE] 50u (V25) 89d | [DFSU929001-RED] 50u (V25) 89d | [DFSU929001-RED] 50u (V25) 89d | [DFSU929001-PURP] 50u (V25) 89d | [DFKSUN5411-0058] 50u (V25) 89d | [DFKSUN5411-0003] 50u (V25) 89d;;;[DFSU935001-BLUE] 50u (V25) 89d
CLABD/Stock/StorageBD/CLA-004-08-03-02;BLACK;V25;1000;20716.66;A;89;100;350;[DFKSUN0218-0802] 50u (V25) 89d | [DFKSUN0218-0802] 50u (V25) 89d | [DFKSUN0218-0802] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0244-0509] 50u (V25) 89d | [DFKSUN0244-0509] 50u (V25) 89d | [DFKSUN0244-0509] 50u (V25) 89d | [DFKSUN0244-0509] 50u (V25) 89d | [DFSU930001-PURP] 50u (V25) 89d | [DFSU929001-RED] 50u (V25) 89d | [DFSU929001-RED] 50u (V25) 89d | [DFSU929001-RED] 50u (V25) 89d | [DFSU929001-RED] 50u (V25) 89d | [DFSU929001-PURP] 50u (V25) 89d;;;
CLABD/Stock/StorageBD/CLA-004-08-03-03;BLACK;V25;900;20066.05;A;89;90;350;[DFKSUN0218-0802] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0244-0509] 50u (V25) 89d | [DFKSUN0244-0509] 50u (V25) 89d | [DFKSUN0244-0509] 50u (V25) 89d | [DFKSUN0244-0509] 50u (V25) 89d | [DFSU929001-RED] 50u (V25) 89d | [DFSU929001-RED] 50u (V25) 89d | [DFSU929001-RED] 50u (V25) 89d | [DFSU929001-PURP] 50u (V25) 89d | [DFSU929001-PURP] 50u (V25) 89d | [DFSU929001-PURP] 50u (V25) 89d;;;
CLABD/Stock/StorageBD/CLA-057-06-01-02;BLACK;V25;700;13871.52;A+D;143;70;300;[DFKSUN0213-0800] 50u (V25) 143d | [DFKSUN0213-0800] 50u (V25) 143d | [DFKSUN0213-0800] 50u (V25) 143d | [DFKSUN0213-0800] 50u (V25) 143d | [DFKSUN0213-0800] 50u (V25) 143d | [DFKSUN0213-0800] 50u (V25) 143d | [DFSU921001-GREE] 50u (V25) 143d;;;[DFSU919001-TORT] 50u (V25) 143d | [DFSU943001-OLIV] 50u (V25) 143d | [DFSU943001-OLIV] 50u (V25) 143d | [DFSU943001-BROW] 50u (V25) 143d | [DFSU943001-BROW] 50u (V25) 143d | [DFSU943001-BROW] 50u (V25) 143d | [DFSU942001-BLAC] 50u (V25) 143d
CLABD/Stock/StorageBD/CLA-052-02-02-01;BLACK;V25;550;14107.66;A+D;89;55;200;[DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0244-0509] 50u (V25) 89d | [DFKSUN0244-0509] 50u (V25) 89d | [DFKSUN0244-0509] 50u (V25) 89d | [DFKSUN0244-0509] 50u (V25) 89d | [DFKSUN0244-0509] 50u (V25) 89d | [DFKSUN0244-0509] 50u (V25) 89d;;;[DFSU935001-BLUE] 50u (V25) 89d
CLABD/Stock/StorageBD/CLA-056-03-01-02;BLACK;V25+V23;900;10901.12;D+A;639;90;200;[DFSU152010-BLUE] 50u (V23) 639d | [DFSU152010-BLUE] 50u (V23) 639d | [DFKSUN0213-0800] 50u (V25) 143d | [DFKSUN0213-0800] 50u (V25) 143d | [DFKSUN0213-0800] 50u (V25) 143d | [DFKSUN0213-0800] 50u (V25) 143d | [DFKSUN0212-0800] 50u (V25) 67d | [DFKSUN0212-0800] 50u (V25) 67d | [DFKSUN0212-0800] 50u (V25) 143d | [DFKSUN0212-0800] 50u (V25) 143d | [DFKSUN0212-0800] 50u (V25) 143d | [DFKSUN0212-0800] 50u (V25) 143d | [DFKSUN0212-0800] 50u (V25) 143d | [DFKSUN0211-0802] 50u (V25) 143d;;;[DFSU919001-TORT] 50u (V25) 185d | [DFSU919001-TORT] 50u (V25) 185d | [DFSU919001-TORT] 50u (V25) 185d | [DFSU942001-BLAC] 50u (V25) 288d
CLABD/Stock/StorageBD/CLA-062-06-01-01;BLACK;V25;750;9006.66;A;25;75;150;[DFKSUN0565-0002] 50u (V25) 25d | [DFKSUN0565-0002] 50u (V25) 25d | [DFKSUN1511-0801] 50u (V25) 25d | [DFKSUN0213-0800] 50u (V25) 25d | [DFKSUN0213-0800] 50u (V25) 25d | [DFKSUN1512-0804] 50u (V25) 25d | [DFKSUN1512-0804] 50u (V25) 25d | [DFSU921001-GREE] 50u (V25) 25d | [DFSU921001-GREE] 50u (V25) 25d | [DFKSUN0213-0800] 50u (V25) 25d | [DFSU929001-RED] 50u (V25) 25d | [DFSU925001-GREE] 50u (V25) 25d | [DFKSUN0182-0801] 50u (V25) 25d | [DFKSUN0181-0804] 50u (V25) 25d | [DFKSUN0828-0022] 50u (V25) 25d;;;
CLABD/Stock/StorageBD/CLA-004-07-03-01;BLACK;V25;800;8276.76;A+D;89;80;100;[DFKSUN0213-0800] 50u (V25) 89d | [DFKSUN0213-0800] 50u (V25) 89d | [DFSU930001-PURP] 50u (V25) 89d | [DFSU929001-RED] 50u (V25) 89d | [DFSU929001-PURP] 50u (V25) 89d | [DFSU929001-PURP] 50u (V25) 89d | [DFSU929001-PURP] 50u (V25) 89d | [DFSU929001-PURP] 50u (V25) 89d | [DFSU929001-PURP] 50u (V25) 89d | [DFSU929001-PURP] 50u (V25) 89d | [DFKSUN5411-0003] 50u (V25) 89d | [DFKSUN5411-0003] 50u (V25) 89d | [DFKSUN5411-0003] 50u (V25) 89d;;;[DFSU935001-BROW] 50u (V25) 89d | [DFSU935001-BROW] 50u (V25) 89d | [DFSU935001-BROW] 50u (V25) 89d
