ID_UBICACION;MARCA;STOCK_TOTAL;VALOR_STOCK_€;CLASES;DIAS_MAX;OCUPACION_%;DETALLE_CONTENIDO
CLAGD/Stock/StorageGD/CLA-040-03-01-03;GOLD;114;0.00;C+B+A+D;725;100;[OSSH143075-PINK-26] 1u (156d) | [OSSH143075-PINK-21] 2u (156d) | [OSSH143075-PINK-25] 2u (156d) | [OSSH143075-PINK-24] 2u (156d) | [OSSH143075-PINK-20] 1u (156d) | [OSSH143075-PINK-22] 2u (156d) | [OSSH143075-PINK-23] 2u (156d) | [COSH311001-BLAC-27] 1u (579d) | [COSH311001-BLAC-28] 1u (579d) | [COSH311001-BLAC-29] 1u (579d) | [COSH311001-BLAC-30] 2u (579d) | [COSH311001-BLAC-31] 2u (579d) | [COSH311001-BLAC-32] 1u (579d) | [COSH311001-BLAC-33] 1u (579d) | [COSH311001-BLAC-34] 1u (579d) | [COSH311001-BLAC-35] 1u (579d) | [COSH311001-BLAC-36] 1u (579d) | [COSH283005-BLAC-29] 10u (725d) | [COSH283005-BLAC-29] 10u (725d) | [COSH283005-BLAC-28] 10u (725d) | [COSH261031-SILV-29] 20u (170d) | [COSH261031-SILV-29] 10u (170d) | [COSH261030-PINK-29] 10u (170d) | [COSH261030-PINK-28] 10u (170d) | [COSH261030-PINK-28] 10u (170d)
CLAGD/Stock/StorageGD/CLA-040-03-03-01;GOLD;80;0.00;B+A;432;80;[COSH542020-NAVY-36] 10u (432d) | [COSH542020-NAVY-36] 10u (432d) | [COSH542020-NAVY-36] 10u (432d) | [COSH542020-NAVY-36] 10u (432d) | [COSH542020-NAVY-34] 10u (432d) | [COSH542020-NAVY-34] 10u (432d) | [COSH542020-NAVY-34] 10u (432d) | [COSH542020-NAVY-33] 10u (432d)
CLAGD/Stock/StorageGD/CLA-040-03-03-02;GOLD;80;0.00;A;432;80;[COSH542020-TAUP-36] 10u (432d) | [COSH542020-TAUP-36] 10u (432d) | [COSH542020-TAUP-36] 10u (432d) | [COSH542020-TAUP-36] 10u (432d) | [COSH542020-TAUP-36] 10u (432d) | [COSH542020-TAUP-36] 10u (432d) | [COSH542020-TAUP-36] 10u (432d) | [COSH542020-TAUP-36] 10u (432d)
CLAGD/Stock/StorageGD/CLA-040-03-03-03;GOLD;50;0.00;B+A;432;50;[COSH542020-NAVY-35] 10u (432d) | [COSH542020-NAVY-34] 10u (432d) | [COSH542020-NAVY-33] 10u (432d) | [COSH542020-NAVY-31] 10u (432d) | [COSH542020-NAVY-24] 10u (432d)
CLAGD/Stock/StorageGD/CLA-040-04-01-02;GOLD;58;0.00;B+A;450;80;[COSH542020-NAVY-36] 2u (432d) | [COSH542020-TAUP-33] 1u (432d) | [COSH542020-NAVY-33] 1u (432d) | [COSH542020-TAUP-33] 1u (432d) | [COSH542020-NAVY-36] 1u (432d) | [COSH542020-TAUP-31] 2u (432d) | [COSH542020-TAUP-31] 6u (432d) | [COSH542020-TAUP-31] 6u (432d) | [COSH542020-TAUP-31] 16u (432d) | [COSH542020-TAUP-27] 2u (432d) | [COSH542020-TAUP-31] 6u (432d) | [COSH542020-BLAC-34] 6u (450d) | [COSH542020-BLAC-31] 1u (450d) | [COSH542020-NAVY-32] 3u (432d) | [COSH542020-TAN-22] 3u (432d) | [COSH542020-TAUP-22] 1u (360d)
CLAGD/Stock/StorageGD/CLA-040-04-01-03;GOLD;24;0.00;C+B;514;20;[OSSH506001-JEAN-23] 2u (228d) | [OSSH506001-JEAN-20] 2u (228d) | [OSSH506001-JEAN-25] 2u (228d) | [OSSH506001-JEAN-24] 2u (228d) | [OSSH506001-JEAN-22] 2u (228d) | [OSSH506001-JEAN-21] 2u (228d) | [COSH283093-WHIT-29] 1u (514d) | [COSH283093-WHIT-30] 2u (514d) | [COSH283093-WHIT-31] 2u (514d) | [COSH283093-WHIT-32] 2u (514d) | [COSH283093-WHIT-33] 2u (514d) | [COSH283093-WHIT-34] 1u (514d) | [COSH283093-WHIT-35] 1u (514d) | [COSH283093-WHIT-36] 1u (514d)
CLAGD/Stock/StorageGD/CLA-040-04-02-01;GOLD;100;0.00;B+A;432;100;[COSH224050-MULT-29] 10u (367d) | [COSH224050-MULT-29] 10u (367d) | [COSH542020-TAUP-26] 10u (432d) | [COSH542020-TAUP-23] 10u (432d) | [COSH542020-TAUP-23] 10u (432d) | [COSH542020-TAUP-22] 10u (432d) | [COSH542090-GOLD-27] 10u (432d) | [COSH542090-GOLD-26] 10u (432d) | [COSH542090-GOLD-25] 10u (432d) | [COSH542090-GOLD-24] 10u (432d)
CLAGD/Stock/StorageGD/CLA-040-04-02-02;GOLD;72;0.00;D+C+B;508;60;[TESH516001-NAVY-20] 2u (142d) | [TESH516001-NAVY-21] 2u (142d) | [TESH516001-NAVY-22] 2u (142d) | [TESH516001-NAVY-23] 2u (142d) | [TESH516001-NAVY-24] 2u (142d) | [TESH516001-NAVY-25] 2u (142d) | [TESH516005-MULT-20] 2u (142d) | [TESH516005-MULT-21] 2u (142d) | [TESH516005-MULT-22] 2u (142d) | [TESH516005-MULT-23] 2u (142d) | [TESH516005-MULT-24] 2u (142d) | [TESH516005-MULT-25] 2u (142d) | [TESH516005-MULT-20] 2u (142d) | [TESH516005-MULT-21] 2u (142d) | [TESH516005-MULT-22] 2u (142d) | [TESH516005-MULT-23] 2u (142d) | [TESH516005-MULT-24] 2u (142d) | [TESH516005-MULT-25] 2u (142d) | [BJSH362002-BLAC-34] 1u (508d) | [BJSH362002-BLAC-35] 2u (508d) | [BJSH362002-BLAC-36] 2u (508d) | [BJSH362002-BLAC-37] 2u (508d) | [BJSH362002-BLAC-38] 2u (508d) | [BJSH362002-BLAC-39] 2u (508d) | [BJSH362002-BLAC-40] 1u (508d) | [BJSH362002-BLAC-34] 1u (508d) | [BJSH362002-BLAC-35] 2u (508d) | [BJSH362002-BLAC-36] 2u (508d) | [BJSH362002-BLAC-37] 2u (508d) | [BJSH362002-BLAC-38] 2u (508d) | [BJSH362002-BLAC-39] 2u (508d) | [BJSH362002-BLAC-40] 1u (508d) | [TESH516001-NAVY-20] 2u (72d) | [TESH516001-NAVY-21] 2u (72d) | [TESH516001-NAVY-22] 2u (72d) | [TESH516001-NAVY-23] 2u (72d) | [TESH516001-NAVY-24] 2u (72d) | [TESH516001-NAVY-25] 2u (72d)
CLAGD/Stock/StorageGD/CLA-040-04-02-03;GOLD;12;0.00;C+B;394;10;[OSSH127004-NAVY-22] 1u (394d) | [OSSH127004-NAVY-23] 1u (394d) | [OSSH127004-NAVY-24] 1u (394d) | [OSSH127004-NAVY-25] 2u (394d) | [OSSH127004-NAVY-26] 2u (394d) | [OSSH127004-NAVY-27] 2u (394d) | [OSSH127004-NAVY-28] 2u (394d) | [OSSH127004-NAVY-29] 1u (394d)
CLAGD/Stock/StorageGD/CLA-040-04-03-02;GOLD;100;0.00;A+D;432;100;[COSH542020-TAUP-35] 10u (432d) | [COSH542020-TAUP-35] 10u (432d) | [COSH542020-TAUP-35] 10u (432d) | [COSH542020-TAUP-35] 10u (432d) | [COSH542020-TAUP-35] 10u (432d) | [COSH542020-TAUP-35] 10u (432d) | [COSH542020-TAUP-35] 10u (432d) | [COSH542020-TAUP-33] 10u (432d) | [COSH542020-TAUP-33] 10u (432d) | [COSH224050-MULT-31] 10u (367d)
CLAGD/Stock/StorageGD/CLA-040-05-01-03;GOLD;70;0.00;B+D+C;904;70;[NV558663-0043-34] 3u (904d) | [BJSH586076-BLAC-34] 2u (369d) | [NV558661-0011-32] 1u (586d) | [NV558661-0011-33] 2u (586d) | [NV558661-0011-35] 1u (586d) | [NV558661-0011-31] 1u (586d) | [NV558661-0011-34] 2u (586d) | [BJSH586093-BROW-33] 1u (488d) | [BJSH586093-BROW-34] 2u (488d) | [BJSH586093-BROW-35] 2u (488d) | [BJSH586093-BROW-36] 2u (488d) | [BJSH586093-BROW-37] 2u (488d) | [BJSH586093-BROW-38] 2u (488d) | [BJSH586093-BROW-39] 1u (488d) | [BJSH586093-BROW-26] 1u (488d) | [BJSH586093-BROW-27] 1u (488d) | [BJSH586093-BROW-28] 1u (488d) | [BJSH586093-BROW-29] 1u (488d) | [BJSH586093-BROW-30] 1u (488d) | [BJSH586093-BROW-31] 1u (488d) | [BJSH586093-BROW-32] 1u (488d) | [BJSH586093-BROW-33] 1u (488d) | [BJSH586093-BROW-34] 1u (488d) | [BJSH586093-BROW-35] 1u (488d) | [BJSH586093-BROW-36] 1u (488d) | [BJSH586093-BROW-37] 1u (488d) | [BJSH586093-BROW-26] 1u (488d) | [BJSH586093-BROW-27] 1u (488d) | [BJSH586093-BROW-28] 1u (488d) | [BJSH586093-BROW-29] 1u (488d) | [BJSH586093-BROW-30] 1u (488d) | [BJSH586093-BROW-31] 1u (488d) | [BJSH586093-BROW-32] 1u (488d) | [BJSH586093-BROW-33] 1u (488d) | [BJSH586093-BROW-34] 1u (488d) | [BJSH586093-BROW-35] 1u (488d) | [BJSH586093-BROW-36] 1u (488d) | [BJSH586093-BROW-37] 1u (488d) | [BWSH588003-ZEBR-36] 1u (369d) | [BWSH588003-ZEBR-37] 2u (369d) | [BWSH588003-ZEBR-38] 3u (369d) | [BWSH588003-ZEBR-39] 3u (369d) | [BWSH588003-ZEBR-40] 2u (369d) | [BWSH588003-ZEBR-41] 1u (369d) | [BWSH368001-BLAC-36] 1u (487d) | [BWSH368001-BLAC-37] 2u (487d) | [BWSH368001-BLAC-38] 2u (487d) | [BWSH368001-BLAC-39] 2u (487d) | [BWSH368001-BLAC-40] 1u (487d) | [BWSH368001-BLAC-41] 1u (487d) | [BJSH362001-BLAC-40] 1u (508d)
CLAGD/Stock/StorageGD/CLA-040-05-02-03;GOLD;22;0.00;B+D;579;20;[COSH283043-PEWT-22] 10u (340d) | [NV126507-0043-27] 2u (579d) | [NV126507-0043-28] 2u (579d) | [NV126507-0043-29] 2u (579d) | [NV126507-0043-30] 1u (579d) | [NV126507-0043-31] 1u (579d) | [NV126507-0043-32] 1u (579d) | [NV126507-0043-33] 1u (579d) | [NV126507-0043-34] 1u (579d) | [NV126507-0043-35] 1u (579d)
CLAGD/Stock/StorageGD/CLA-040-05-03-02;GOLD;160;0.00;D+B;367;160;[COSH224050-MULT-34] 10u (367d) | [COSH224050-MULT-32] 10u (367d) | [COSH224050-MULT-31] 10u (367d) | [COSH224050-MULT-31] 10u (367d) | [COSH224050-MULT-31] 10u (367d) | [COSH224050-MULT-31] 10u (367d) | [COSH224050-MULT-30] 10u (367d) | [COSH224050-MULT-29] 10u (367d) | [COSH224050-MULT-29] 10u (367d) | [COSH224050-MULT-29] 10u (367d) | [COSH224050-MULT-29] 10u (367d) | [COSH224050-MULT-28] 10u (367d) | [COSH224050-MULT-28] 10u (367d) | [COSH224050-MULT-28] 10u (367d) | [COSH224050-MULT-28] 10u (367d) | [COSH224050-MULT-28] 10u (367d)
