ID_UBICACION;MARCA;TEMPORADAS;STOCK_TOTAL_UBICACION;VALOR_STOCK_€;CLASES_ABC;DIAS_MAX;OCUPACION_%;PRODUCTOS_A;PRODUCTOS_B;PRODUCTOS_C;PRODUCTOS_D
CLAGD/Stock/StorageGD/CLA-043-06-02-02;GOLD;I25;70;0.00;A;433;70;[COSH542021-TAUP-25] 10u (I25) 433d | [COSH542021-TAUP-25] 10u (I25) 433d | [COSH542021-TAUP-25] 10u (I25) 433d | [COSH542021-TAUP-24] 10u (I25) 433d | [COSH542021-TAUP-24] 10u (I25) 433d | [COSH542021-TAUP-24] 10u (I25) 433d | [COSH542021-TAUP-24] 10u (I25) 433d;;;
CLAGD/Stock/StorageGD/CLA-043-06-03-02;GENERIC;V22;70;639.10;C;727;70;;;[MV232305-0037-40] 10u (V22) 727d | [MV232305-0037-38] 10u (V22) 727d | [MV232305-0020-41] 10u (V22) 727d | [MV232305-0020-39] 10u (V22) 727d | [MV232305-0020-38] 10u (V22) 727d | [MV232305-0020-37] 10u (V22) 727d | [MV232305-0020-36] 10u (V22) 727d;
CLAGD/Stock/StorageGD/CLA-043-08-02-01;GOLD;I25;70;420.70;A;158;70;[BJSH542020-TAN-38] 10u (I25) 158d | [BJSH542020-TAN-37] 10u (I25) 158d | [BJSH542020-TAN-37] 10u (I25) 158d | [BJSH542020-TAN-37] 10u (I25) 158d | [BJSH542020-TAN-37] 10u (I25) 158d | [BJSH542020-TAN-37] 10u (I25) 158d | [BJSH542020-TAN-35] 10u (I25) 158d;;;
CLAGD/Stock/StorageGD/CLA-044-03-03-03;GOLD;I25;70;0.00;A;175;70;[COSH542021-TAN-35] 10u (I25) 175d | [COSH542021-TAN-35] 10u (I25) 175d | [COSH542021-TAN-31] 10u (I25) 175d | [COSH542021-TAN-30] 10u (I25) 175d | [COSH542021-TAN-30] 10u (I25) 175d | [COSH542021-TAN-30] 10u (I25) 175d | [COSH542021-TAN-30] 10u (I25) 175d;;;
CLAGD/Stock/StorageGD/CLA-044-07-01-01;GOLD;I25;70;428.40;A;209;70;[BJSH542021-TAUP-35] 10u (I25) 209d | [BJSH542021-TAUP-35] 10u (I25) 209d | [BJSH542021-TAUP-35] 10u (I25) 209d | [BJSH542021-TAUP-34] 10u (I25) 209d | [BJSH542021-TAUP-34] 10u (I25) 209d | [BJSH542021-TAUP-33] 10u (I25) 209d | [BJSH542021-TAUP-33] 10u (I25) 209d;;;
CLAGD/Stock/StorageGD/CLA-044-07-01-03;GOLD;I25;70;428.40;A;209;70;[BJSH542021-TAUP-37] 10u (I25) 209d | [BJSH542021-TAUP-35] 10u (I25) 209d | [BJSH542021-TAUP-35] 10u (I25) 209d | [BJSH542021-TAUP-35] 10u (I25) 209d | [BJSH542021-TAUP-34] 10u (I25) 209d | [BJSH542021-TAUP-34] 10u (I25) 209d | [BJSH542021-TAUP-34] 10u (I25) 209d;;;
CLAGD/Stock/StorageGD/CLA-044-08-01-01;GOLD;I25;70;428.40;A;209;70;[BJSH542021-TAUP-41] 10u (I25) 209d | [BJSH542021-TAUP-38] 10u (I25) 209d | [BJSH542021-TAUP-38] 10u (I25) 209d | [BJSH542021-TAUP-38] 10u (I25) 209d | [BJSH542021-TAUP-37] 10u (I25) 209d | [BJSH542021-TAUP-35] 10u (I25) 209d | [BJSH542021-TAUP-34] 10u (I25) 209d;;;
CLAGD/Stock/StorageGD/CLA-045-03-03-03;GOLD;V25;70;0.00;D+B;301;70;;[COSH283106-WHIT-27] 10u (V25) 301d | [COSH284097-MULT-27] 10u (V25) 301d;;[COSH283110-MULT-32] 10u (V25) 301d | [COSH283110-MULT-30] 10u (V25) 301d | [COSH283110-MULT-29] 10u (V25) 301d | [COSH283106-WHIT-32] 10u (V25) 301d | [COSH283106-WHIT-30] 10u (V25) 301d
CLAGD/Stock/StorageGD/CLA-045-08-03-01;GOLD;I25;70;0.00;A;175;70;[COSH542021-TAN-36] 10u (I25) 175d | [COSH542021-TAN-30] 10u (I25) 175d | [COSH542021-TAN-30] 10u (I25) 175d | [COSH542021-TAN-28] 10u (I25) 175d | [COSH542021-TAN-25] 10u (I25) 175d | [COSH542021-TAN-23] 10u (I25) 175d | [COSH542021-TAN-23] 10u (I25) 175d;;;
CLAGD/Stock/StorageGD/CLA-046-05-02-01;GOLD;I25;70;0.00;A;202;70;[COSH542021-BLAC-35] 10u (I25) 202d | [COSH542021-BLAC-35] 10u (I25) 202d | [COSH542021-BLAC-34] 10u (I25) 202d | [COSH542021-BLAC-34] 10u (I25) 202d | [COSH542021-BLAC-32] 10u (I25) 202d | [COSH542021-BLAC-32] 10u (I25) 202d | [COSH542021-BLAC-30] 10u (I25) 202d;;;
