ID_UBICACION;MARCA;TEMPORADAS;STOCK_TOTAL_UBICACION;VALOR_STOCK_€;CLASES_ABC;DIAS_MAX;OCUPACION_%;PRODUCTOS_A;PRODUCTOS_B;PRODUCTOS_C;PRODUCTOS_D
CLABD/Stock/StorageBD/CLA-054-05-01-01;GENERIC;V24;8249;8001.53;B;638;1650;;[DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-PINK] 50u (V24) 590d | [DFACLY2301-PINK] 50u (V24) 590d | [DFACLY2301-PINK] 50u (V24) 590d | [DFACLY2301-PINK] 50u (V24) 590d | [DFACLY2301-PINK] 50u (V24) 590d | [DFACLY2301-PINK] 50u (V24) 590d | [DFACLY2301-PINK] 50u (V24) 590d | [DFACLY2301-PINK] 50u (V24) 590d | [DFACLY2301-PINK] 50u (V24) 590d | [DFACLY2301-PINK] 50u (V24) 590d | [DFACLY2301-PINK] 50u (V24) 590d | [DFACLY2301-PINK] 50u (V24) 590d | [DFACLY2301-PINK] 50u (V24) 590d | [DFACLY2301-PINK] 50u (V24) 590d | [DFACLY2301-PINK] 50u (V24) 590d | [DFACLY2301-YELL] 50u (V24) 590d | [DFACLY2301-YELL] 50u (V24) 590d | [DFACLY2301-YELL] 49u (V24) 590d | [DFACLY2301-YELL] 50u (V24) 590d | [DFACLY2301-YELL] 50u (V24) 590d | [DFACLY2301-YELL] 50u (V24) 590d | [DFACLY2301-YELL] 50u (V24) 590d | [DFACLY2301-YELL] 50u (V24) 590d | [DFACLY2301-YELL] 50u (V24) 590d | [DFACLY2301-YELL] 50u (V24) 590d | [DFACLY2301-YELL] 50u (V24) 590d | [DFACLY2301-YELL] 50u (V24) 590d | [DFACLY2301-YELL] 50u (V24) 590d | [DFACLY2301-YELL] 50u (V24) 590d | [DFACLY2301-YELL] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-GREY] 50u (V24) 590d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 638d | [DFACLY2301-WHIT] 50u (V24) 590d;;
CLABD/Stock/StorageBD/CLA-053-05-01-02;BLACK;I25;4000;2660.40;B+C+A;101;160;[DFACLY2501-BLAC] 250u (I25) 101d | [DFACLY2501-BLAC] 250u (I25) 101d | [DFACLY2501-BLAC] 250u (I25) 101d;[DFACLY2501-YELL] 250u (I25) 101d | [DFACLY2501-PINK] 250u (I25) 101d | [DFACLY2501-PINK] 250u (I25) 101d | [DFACLY2501-PINK] 250u (I25) 101d | [DFACLY2501-PINK] 250u (I25) 101d | [DFACLY2501-PINK] 250u (I25) 101d | [DFACLY2501-PINK] 250u (I25) 101d | [DFACLY2501-PINK] 250u (I25) 101d | [DFACLY2501-PINK] 250u (I25) 101d;[DFACLY2501-PEAC] 250u (I25) 101d | [DFACLY2501-PEAC] 250u (I25) 101d | [DFACLY2501-PEAC] 250u (I25) 101d | [DFACLY2501-PEAC] 250u (I25) 101d;
CLABD/Stock/StorageBD/CLA-072-07-01-03;BLACK;I25;4000;2649.20;B+C+A;101;160;[DFACLY2501-BLAC] 250u (I25) 101d | [DFACLY2501-BLAC] 250u (I25) 101d | [DFACLY2501-BLAC] 250u (I25) 101d | [DFACLY2501-BLAC] 250u (I25) 101d | [DFACLY2501-BLAC] 250u (I25) 101d | [DFACLY2501-BLAC] 250u (I25) 101d;[DFACLY2501-YELL] 250u (I25) 101d | [DFACLY2501-YELL] 250u (I25) 101d | [DFACLY2501-YELL] 250u (I25) 101d | [DFACLY2501-YELL] 250u (I25) 101d | [DFACLY2501-YELL] 250u (I25) 101d | [DFACLY2501-YELL] 250u (I25) 101d;[DFACLY2501-PEAC] 250u (I25) 101d | [DFACLY2501-PEAC] 250u (I25) 101d | [DFACLY2501-PEAC] 250u (I25) 101d | [DFACLY2501-PEAC] 250u (I25) 101d;
CLABD/Stock/StorageBD/CLA-055-07-01-02;BLACK;V25+I25;2386;11012.89;D+C;309;970;;;[DFSWTOP12-MAGE-M] 25u (V25) 309d | [DFSWONE04-RED-M] 25u (V25) 309d | [DFSWONE03-BLAC-M] 25u (V25) 309d | [DFSWTOP07-BLUE-M] 25u (V25) 309d | [DFSWTOP07-BLUE-M] 25u (V25) 309d | [DFSWBOT12-MAGE-M] 25u (V25) 309d | [DFTXTSH039-BURG-M] 20u (I25) 102d | [DFTXTSH039-BURG-S] 19u (I25) 102d | [DFTXTSH039-BLAC-L] 20u (I25) 102d | [DFTXTSH038-ANTR-L] 10u (I25) 102d | [DFTXTSH036-BLAC-M] 21u (I25) 102d | [DFTXTSH036-BLAC-M] 21u (I25) 102d;[DFSWTOP12-MAGE-S] 25u (V25) 309d | [DFSWTOP11-MAGE-L] 25u (V25) 309d | [DFSWTOP08-PINK-S] 25u (V25) 309d | [DFSWTOP08-PINK-M] 25u (V25) 309d | [DFSWTOP08-BLUE-S] 25u (V25) 309d | [DFSWTOP08-BLAC-L] 25u (V25) 309d | [DFSWTOP07-RED-S] 25u (V25) 309d | [DFSWTOP07-RED-M] 25u (V25) 309d | [DFSWTOP07-BLUE-S] 25u (V25) 309d | [DFSWTOP06-RED-S] 25u (V25) 309d | [DFSWTOP06-RED-M] 25u (V25) 309d | [DFSWTOP06-RED-L] 25u (V25) 309d | [DFSWTOP06-HPIN-XL] 25u (V25) 309d | [DFSWTOP06-HPIN-S] 25u (V25) 309d | [DFSWTOP06-HPIN-M] 25u (V25) 309d | [DFSWTOP06-HPIN-L] 25u (V25) 309d | [DFSWTOP06-BLAC-M] 25u (V25) 309d | [DFSWTOP06-BLAC-L] 25u (V25) 309d | [DFSWONE05-MAGE-M] 25u (V25) 309d | [DFSWONE05-MAGE-L] 25u (V25) 309d | [DFSWONE04-RED-S] 25u (V25) 309d | [DFSWONE04-RED-L] 25u (V25) 309d | [DFSWONE03-BLAC-S] 25u (V25) 309d | [DFSWONE03-BLAC-L] 25u (V25) 309d | [DFSWBOT11-MAGE-M] 25u (V25) 309d | [DFSWBOT11-MAGE-L] 25u (V25) 309d | [DFSWBOT10-LEOP-L] 25u (V25) 309d | [DFSWBOT09-LEOP-L] 25u (V25) 309d | [DFSWBOT07-RED-M] 25u (V25) 309d | [DFSWBOT07-RED-L] 25u (V25) 309d | [DFSWBOT07-PINK-M] 25u (V25) 309d | [DFSWBOT07-BLUE-M] 25u (V25) 309d | [DFSWBOT06-RED-M] 25u (V25) 309d | [DFSWBOT06-BLAC-M] 25u (V25) 309d | [DFSWTOP08-RED-M] 25u (V25) 309d | [DFSWTOP08-RED-L] 25u (V25) 309d | [DFSWTOP08-BLUE-M] 25u (V25) 309d | [DFSWBOT08-RED-M] 25u (V25) 309d | [DFSWBOT08-RED-L] 25u (V25) 309d | [DFSWBOT08-BLUE-M] 25u (V25) 309d | [DFSWBOT07-PINK-S] 25u (V25) 309d | [DFSWBOT07-BLUE-S] 25u (V25) 309d | [DFSWBOT06-PINK-M] 25u (V25) 309d | [DFSWBOT06-BLAC-S] 25u (V25) 309d | [DFSWTOP10-LEOP-M] 25u (V25) 309d | [DFSWTOP10-LEOP-M] 25u (V25) 309d | [DFSWTOP10-LEOP-L] 25u (V25) 309d | [DFSWTOP08-BLUE-M] 25u (V25) 309d | [DFSWTOP08-BLAC-M] 25u (V25) 309d | [DFSWTOP08-BLAC-M] 25u (V25) 309d | [DFSWTOP07-RED-M] 25u (V25) 309d | [DFSWTOP07-RED-L] 25u (V25) 309d | [DFSWBOT12-MAGE-S] 25u (V25) 309d | [DFSWBOT12-MAGE-L] 25u (V25) 309d | [DFSWBOT11-MAGE-S] 25u (V25) 309d | [DFSWBOT08-RED-M] 25u (V25) 309d | [DFSWBOT08-BLAC-S] 25u (V25) 309d | [DFSWBOT08-BLAC-M] 25u (V25) 309d | [DFSWBOT07-RED-S] 25u (V25) 309d | [DFSWBOT07-RED-M] 25u (V25) 309d | [DFSWBOT07-PINK-M] 25u (V25) 309d | [DFSWBOT07-PINK-L] 25u (V25) 309d | [DFSWBOT07-BLUE-M] 25u (V25) 309d | [DFSWBOT07-BLUE-L] 25u (V25) 309d | [DFSWBOT06-RED-S] 25u (V25) 309d | [DFSWBOT06-RED-M] 25u (V25) 309d | [DFSWBOT06-RED-L] 25u (V25) 309d | [DFSWBOT06-PINK-XL] 25u (V25) 309d | [DFSWBOT06-PINK-S] 25u (V25) 309d | [DFSWBOT06-PINK-L] 25u (V25) 309d | [DFSWBOT06-PINK-L] 25u (V25) 309d | [DFSWBOT06-BLAC-M] 25u (V25) 309d | [DFSWBOT08-BLUE-S] 25u (V25) 309d | [DFSWTOP10-LEOP-S] 25u (V25) 309d | [DFSWTOP08-BLUE-M] 25u (V25) 309d | [DFSWTOP08-BLUE-L] 25u (V25) 309d | [DFSWTOP08-BLUE-L] 25u (V25) 309d | [DFSWTOP07-BLUE-L] 25u (V25) 309d | [DFSWBOT11-MAGE-M] 25u (V25) 309d | [DFSWBOT08-RED-S] 25u (V25) 309d | [DFSWBOT08-BLUE-M] 25u (V25) 309d | [DFSWBOT08-BLUE-L] 25u (V25) 309d | [DFSWBOT06-RED-L] 25u (V25) 309d | [DFSWBOT06-PINK-M] 25u (V25) 309d | [DFSWBOT06-BLAC-L] 25u (V25) 309d
CLABD/Stock/StorageBD/CLA-004-03-01-02;BLACK;I16+V25+I25;2150;4165.19;A;102;125;[DFKCLEAN-0160] 200u (I16) 101d | [DFKCLEAN-0160] 300u (I16) 101d | [DFKCLEAN-0160] 300u (I16) 101d | [DFKCLEAN-0160] 300u (I16) 101d | [DFKCLEAN-0160] 300u (I16) 101d | [DFKSUN1512-0804] 50u (V25) 101d | [DFKSUN1512-0804] 50u (V25) 101d | [DFKSUN1512-0804] 50u (V25) 101d | [DFKSUN1512-0804] 50u (V25) 101d | [DFKSUN1512-0804] 50u (V25) 101d | [DFKSUN1512-0804] 50u (V25) 101d | [DFKSUN1511-0801] 50u (V25) 101d | [DFKSUN1511-0801] 50u (V25) 101d | [DFKSUN1511-0801] 50u (V25) 101d | [DFKSUN1511-0801] 50u (V25) 101d | [DFKSUN1511-0801] 50u (V25) 101d | [DFKSUN0826-0058] 50u (V25) 102d | [DFKSUN0826-0058] 50u (V25) 102d | [DFKSUN0821-0003] 50u (V25) 102d | [DFSU953001-PINK] 50u (I25) 67d;;;
CLABD/Stock/StorageBD/CLA-054-07-01-03;BLACK;I24+V25;2099;3938.43;A+C;569;220;[DFTXSOC010-WHIT-41-46] 100u (I24) 569d | [DFTXSOC010-WHIT-41-46] 100u (I24) 569d | [DFTXSOC010-WHIT-41-46] 100u (I24) 569d | [DFTXSOC010-WHIT-41-46] 100u (I24) 569d | [DFTXSOC010-WHIT-36-40] 100u (I24) 569d | [DFTXSOC009-WHIT-41-46] 100u (I24) 569d | [DFTXSOC009-WHIT-41-46] 100u (I24) 569d | [DFTXSOC009-WHIT-41-46] 100u (I24) 569d | [DFTXSOC022-PINK-36-40] 50u (V25) 317d | [DFTXSOC022-PURP-36-40] 100u (V25) 317d | [DFTXSOC022-PURP-36-40] 100u (V25) 317d | [DFTXSOC022-PINK-36-40] 49u (V25) 317d | [DFTXSOC022-PINK-36-40] 100u (V25) 317d | [DFTXSOC014-ORAN-36-40] 100u (V25) 317d | [DFTXSOC014-ORAN-36-40] 100u (V25) 317d | [DFTXSOC014-ORAN-36-40] 100u (V25) 317d | [DFTXSOC014-GREE-36-40] 100u (V25) 317d | [DFTXSOC014-GREE-36-40] 100u (V25) 317d | [DFTXSOC014-GREE-36-40] 100u (V25) 317d;;[DFTXSOC006-WHIT-41-46] 100u (I24) 569d | [DFTXSOC006-WHIT-36-40] 100u (I24) 569d | [DFTXSOC006-WHIT-36-40] 100u (I24) 569d;
CLABD/Stock/StorageBD/CLA-054-04-01-03;BLACK;I24+V25;1889;4446.23;A+B+C+D;569;250;[DFTXSOC010-BLAC-41-46] 100u (I24) 569d | [DFTXSOC010-BLAC-41-46] 100u (I24) 569d | [DFTXSOC010-BLAC-41-46] 100u (I24) 569d | [DFTXSOC010-BLAC-41-46] 100u (I24) 569d;[DFTXSOC009-GREE-41-46] 100u (I24) 569d | [DFTXSOC009-GREE-41-46] 100u (I24) 569d | [DFTXSOC009-GREE-41-46] 100u (I24) 569d | [DFTXSOC009-GREE-41-46] 100u (I24) 569d | [DFTXSOC009-GREE-41-46] 100u (I24) 569d | [DFTXSOC009-GREE-41-46] 100u (I24) 569d | [DFTXSOC009-GREE-36-40] 100u (I24) 569d | [DFTXSOC009-GREE-36-40] 100u (I24) 569d | [DFTXSOC005-BLUE-41-46] 100u (I24) 569d | [DFTXSOC005-BLUE-41-46] 100u (I24) 569d | [DFTXSOC005-BLUE-41-46] 100u (I24) 569d | [DFTXSOC005-BLUE-36-40] 100u (I24) 569d | [DFTXSOC005-BLUE-36-40] 100u (I24) 569d | [DFTXTSH028-NAVY-L] 30u (V25) 226d;[DFTXTSH028-NAVY-M] 22u (V25) 226d | [DFTXTSH025-BLAC-M] 30u (V25) 226d | [DFTXTSH024-GREY-M] 20u (V25) 226d | [DFTXTSH023-GREY-M] 19u (V25) 226d;[DFTXTSH025-WHIT-S] 18u (V25) 226d | [DFTXTSH025-BLAC-S] 30u (V25) 226d | [DFTXTSH024-BLAC-M] 20u (V25) 226d
CLABD/Stock/StorageBD/CLA-058-03-01-01;GENERIC;V23+V21+V25;1583;5466.95;B+A+C;1191;160;[DFSU903001-BLAC] 50u (V23) 869d;[DFSU903001-TORT] 50u (V23) 869d | [DFSU903001-TORT] 50u (V23) 869d | [DFSU903001-TORT] 50u (V23) 869d | [DFSU901001-GREE] 50u (V23) 876d | [DFSU901001-GREE] 45u (V23) 876d | [DFSU901001-GREE] 50u (V23) 876d | [DFKSUN1513-0802] 50u (V25) 577d;[DFKPCS0016] 100u (V21) 1191d | [DFKPCS0016] 100u (V21) 1191d | [DFKPCS0015] 100u (V21) 1191d | [DFKPCS0015] 97u (V21) 1191d | [DFKPCS0013] 100u (V21) 1191d | [DFKPCS0013] 100u (V21) 1191d | [DFKPCS0012] 100u (V21) 1191d | [DFKPCS0012] 99u (V21) 1191d | [DFKPCS0011] 93u (V21) 1191d | [DFKPCS0011] 100u (V21) 1191d | [DFKPCS0010] 99u (V21) 1191d | [DFKPCS0010] 100u (V21) 1191d;
CLABD/Stock/StorageBD/CLA-054-07-01-02;BLACK;I24+V25;1438;4092.51;A+C+B+D;569;270;[DFTXSOC009-BLAC-41-46] 100u (I24) 569d | [DFTXSOC009-BLAC-41-46] 100u (I24) 569d | [DFTXSOC009-BLAC-41-46] 100u (I24) 569d | [DFTXSOC009-BLAC-41-46] 100u (I24) 569d | [DFTXSOC009-BLAC-41-46] 100u (I24) 569d | [DFTXSOC009-BLAC-36-40] 100u (I24) 569d | [DFTXSOC008-BLUE-41-46] 100u (I24) 569d | [DFTXSOC008-BLUE-41-46] 100u (I24) 569d | [DFTXSOC006-BLAC-36-40] 100u (I24) 569d | [DFTXSOC006-BLAC-36-40] 100u (I24) 569d;[DFTXTSH020-WHIT-L] 19u (I24) 456d | [DFTXHOD018-GREY-M] 3u (I24) 456d;[DFTXSOC006-BLAC-41-46] 100u (I24) 569d | [DFTXSOC006-BLAC-41-46] 100u (I24) 569d | [DFTXTSH020-BLACK-M] 18u (I24) 456d | [DFTXTSH020-BLACK-L] 17u (I24) 456d | [DFTXTSH020-BLACK-M] 18u (I24) 456d | [DFTXTSH020-BLACK-M] 18u (I24) 352d | [DFTXTSH020-WHIT-M] 18u (I24) 456d | [DFTXTSH020-WHIT-M] 18u (I24) 456d | [DFTXTSH031-GREY-L] 5u (V25) 283d | [DFTXTSH030-BLAC-M] 20u (V25) 283d | [DFTXTSH026-NAVY-M] 20u (V25) 283d;[DFTXTSH035-WHIT-S] 20u (V25) 283d | [DFTXTSH027-BLAC-S] 20u (V25) 283d | [DFTXTSH026-WHIT-L] 4u (V25) 283d | [DFTXTSH026-BLAC-M] 20u (V25) 283d
CLABD/Stock/EXTB2BBD/CLA-031-17-02-01;GENERIC;V25+I25+V26;1425;3019.78;A+D;324;10;[DFMEPLV006] 372u (V25) 324d;;;[DFMEPLV012] 364u (I25) 141d | [DFMEPLV013] 376u (I25) 141d | [DFMEPLV014] 93u (I25) 141d | [DFMEPLV015] 193u (I25) 141d | [DFMEPLV016] 1u (I25) 141d | [DFMEPLV043] 6u (V26) 4d | [DFMEPLV044] 8u (V26) 4d | [DFMEPLV045] 8u (V26) 4d | [DFMEPLV046] 4u (V26) 4d
